first name,last name,Google Scholar URL,sanitized_username
Mirabelle,Jones,https://scholar.google.com/citations?user=VY92sIoAAAAJ,mirabelle_jones
Mohammad Sadegh,Talebi,https://scholar.google.com/citations?user=Q4_AHDYAAAAJ&hl=en,mohammad-sadegh_talebi
Morten,Arngren,https://scholar.google.com/citations?user=7zJcE50AAAAJ,morten_arngren
Morten,Mørup,https://scholar.google.com/citations?user=RQonsgMAAAAJ&hl=da,morten_morup
Morten,Rieger Hannemose,https://scholar.google.com/citations?user=AH58CjUAAAAJ,morten_rieger-hannemose
Morten Bo,Svendsen,https://scholar.google.com/citations?user=U7YuapkAAAAJ&hl=da&oi=ao,morten-bo_svendsen
Mostafa,Mehdipour Ghazi,https://scholar.google.com/citations?user=8LoF2mEAAAAJ&hl,mostafa_mehdipour-ghazi
Natalia,Avlona,https://scholar.google.com/citations?user=PvKbwaEAAAAJ,natalia_avlona
Natália,da Silva Perez,https://scholar.google.com/citations?user=HQqQokQAAAAJ&hl=en,natalia_da-silva-perez
Nico,Lang,https://scholar.google.ch/citations?user=bVZtKsQAAAAJ&hl=en,nico_lang
Nico,Wunderlich,https://scholar.google.com/citations?user=P5QGP40AAAAJ,nico_wunderlich
Niels,van Berkel,https://scholar.google.co.uk/citations?user=0VfMvLsAAAAJ,niels_van-berkel
Niklas,Pfister,https://scholar.google.com/citations?user=u2G6pzcAAAAJ&hl=en&oi=ao,niklas_pfister
Nikolaos,Nakis,https://scholar.google.com/citations?user=aBbL2BkAAAAJ&hl=en&oi=sra,nikolaos_nakis
Nora,Hollenstein,https://scholar.google.com/citations?user=vxvmkskAAAAJ&hl=en,nora_hollenstein
Ole,Winther,https://scholar.google.com/citations?user=7VAwhzUAAAAJ&hl=da,ole_winther
Olga,Iarygina,https://scholar.google.com/citations?user=9zk2nZoAAAAJ&hl=en,olga_iarygina
Oswin,Krause,https://scholar.google.com/citations?user=5ER3NYoAAAAJ,oswin_krause
Pablo,Moreno-Munoz,https://scholar.google.es/citations?user=8vL8iawAAAAJ&hl=es,pablo_moreno-munoz
Panagiotis,Karras,https://scholar.google.com/citations?user=B6C4aBoAAAAJ,panagiotis_karras
Paolo,Burelli,https://scholar.google.com/citations?user=cWWAQPYAAAAJ&hl=da,paolo_burelli
Paraskevas,Pegios,https://scholar.google.com/citations?user=LVACmX4AAAAJ,paraskevas_pegios
Paul,Jeha,https://scholar.google.com/citations?user=Ate9tL0AAAAJ&hl=fr&oi=ao,paul_jeha
Peter,Schneider-Kamp,https://scholar.google.dk/citations?user=9PSkUdwAAAAJ,peter_schneider-kamp
Peter,Mørch Groth,https://scholar.google.com/citations?user=UO0Z4PIAAAAJ,peter_morch-groth
Peter,Sestoft,https://scholar.google.com/citations?user=qz1BCu8AAAAJ,peter_sestoft
Peter Ebert,Christensen,https://scholar.google.com/citations?user=6MejXVYAAAAJ&hl=en&oi=ao,peter-ebert_christensen
Peter Edsberg,Møllgaard,https://scholar.google.com/citations?user=fOsXIgcAAAAJ&hl=en&oi=ao,peter-edsberg_mollgaard
Peter Gorm,Larsen,https://scholar.google.com/citations?user=ooFozxQAAAAJ,peter-gorm_larsen
Pinar,Tozun,https://scholar.google.com/citations?user=JTmMb3kAAAAJ,pinar_tozun
Rafal,Wisniewski,https://scholar.google.com/citations?user=uoH_txQAAAAJ&hl=da&oi=ao,rafal_wisniewski
Raghavendra,Selvan,https://scholar.google.com/citations?user=R9VBQ54AAAAJ&hl=en,raghavendra_selvan
Rasmus R.,Paulsen,https://scholar.google.com/citations?user=UkOaTWAAAAAJ&hl=da,rasmus-r._paulsen
Richard,Michael,https://scholar.google.com/citations?user=-U772ZIAAAAJ,richard_michael
Rikke,Gade,https://scholar.google.com/citations?user=WqLUZY8AAAAJ&hl=da&oi=ao,rikke_gade
Rob,van der Goot,https://scholar.google.com/citations?user=lU4zpOEAAAAJ&hl=nl,rob_van-der-goot
