Name,Affiliation,Citations,H-Index,I10-Index,Interests,Profile Picture URL
"Katja Hose","Professor, TU Wien, Aalborg University",4519,26,78,"Databases;Knowledge Engineering;Knowledge Graphs;Semantic Web","N/A"
"Ken Pfeuffer","Assistant Professor, Aarhus University",1416,20,26,"Human Computer Interaction;Eye Tracking;Virtual Reality;Augmented Reality;UI Design","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AqmxADkAAAAJ&citpid=5"
"Kenny Erleben","Professor, Department of Computer Science, University of Copenhagen",2018,20,43,"Computer Simulation;Numerical Optimization;Computer Graphics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CQkvlpUAAAAJ&citpid=6"
"Kilian Zepf","PhD, Technical University of Denmark",10,2,0,"Machine Learning;Computer Vision;Uncertain Segmentation","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=epo_gP0AAAAJ&citpid=5"
"Kim Steenstrup Pedersen","Department of computer science, University of Copenhagen",1604,17,29,"Computer vision;computer vision for natural history and cultural heritage;image analysis;machine learning;pattern recognitio","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RzH2vKQAAAAJ&citpid=2"
"Kiril Klein","PhD Fellow, University of Copenhagen",4,2,0,"deep learning;pharmacovigilance;EHR;neuroimaging","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8k9TwncAAAAJ&citpid=3"
"Kristian Olesen","Aalborg University",730,14,16,"spatial planning;planning theory","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=K9aQCYQAAAAJ&citpid=1"
"Kristin Kaltenhäuser","University of Copenhagen",4,1,0,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cOSBlXgAAAAJ&citpid=2"
"Kristjan Eldjarn Hjorleifsson","Caltech",1522,10,10,"Generative Music;Music Information Retrieval;Machine Learning;Statistical Learning;Genetics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=K1H_xSgAAAAJ&citpid=3"
"Kristoffer Hougaard Madsen","Danish Research for Magnetic Resonance, Copenhagen University Hospital Hvidovre",7721,39,86,"Neuroimaging;machine learning;fMRI;EEG;brain stimulation","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2SFcdW0AAAAJ&citpid=5"
"Kyveli Kompatsiari","Postdoc, Sinelab, DTU Compute",428,11,11,"Social interaction;Social cogntion;Human-Robot Interaction","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=p8N1pgkAAAAJ&citpid=1"
"Lasse Heje Pedersen","Copenhagen Business School, NYU, AQR, and CEPR",41013,51,75,"asset pricing;liquidity risk;trading strategies;efficiently inefficient markets","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XhSFeucAAAAJ&citpid=4"
"Laura Alessandretti","Technical University of Denmark",1726,16,19,"Complex Networks;Human behavior;Computational Social Science","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2265XuYAAAAJ&citpid=3"
"Lazaros Nalpantidis","Professor, DTU - Technical University of Denmark",3259,24,49,"Autonomous Systems;Robot Perception","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YAx9230AAAAJ&citpid=3"
"Leon Derczynski","ITU Copenhagen & University of Washington",6347,29,65,"Natural Language Processing;Machine Learning;Efficient NLP;Online Harms;LLM Security","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=d8iwqa8AAAAJ&citpid=13"
"Léonard Van Rompaey","Industrial postdoctoral researcher",38,2,1,"law;artificial intelligence;robots;technology","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ifwn1J8AAAAJ&citpid=2"
"Li Quan","University of Copenhagen",40,4,1,"blockchain;coding theory;information theory","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=g4WpWPwAAAAJ&citpid=1"
"Line H. Clemmensen","Technical Universtiy of Denmark",2051,20,32,"Machine learning;multivariate statistics;statistical modelling;sparse modelling","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_S285OAAAAAJ&citpid=2"
"Line Reinhardt","Associate Professor Department of People and Technology Roskilde University",640,11,13,"Operations Research - Routing and Scheduling - Liner Shipping - Airport Optimization","https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-1qVGF4AAAAJ&citpid=3"
"Louis Boucherie","PhD Student at Technical University of Denmark",3,1,0,"complex systems;network science","N/A"
"Louise Pape-Haugaard","Associate professor, Department of Health Science and Technology, Medical Informatics, Aalborg",229,8,6,"Medical Informatics;Interoperability;Information modelling;Big Data","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=05FE5m4AAAAJ&citpid=2"
"Louise Barkhuus","Professor, The IT University of Copenhagen and Rutgers University",5437,30,55,"Human computer interaction;Ubiquitous computing;Privacy","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dAeFXDcAAAAJ&citpid=2"
"Luca Maria Aiello","IT University of Copenhagen",5067,32,68,"Computational Social Science;Network Science;Data Science;Urban Informatics;Natural Language Processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FIX-7hcAAAAJ&citpid=4"
